epoch,train_loss,train_acc1,test_loss,test_acc1,test_acc5,gap_loss,lr,epoch_time_s,busy_frac,wait_time_s,peak_mem_mb,mb_sent,msgs_sent,recompute_micro,max_snapshots,bwd_overlap_minibatches,samples,cum_time_s
107,0.00502,99.958,1.17541,71.43,91.05,1.17039,0.005415005420233141,15.16,0.978|0.739,0.07|3.51,904.8|352.9,3120.0|3120.0,260|260,0|0,2|0,259,49920,1617.55
108,0.0052,99.96,1.17685,71.83,91.08,1.17165,0.0052358358329855515,15.104,0.978|0.745,0.06|3.43,904.8|353.0,3120.0|3120.0,260|260,0|0,2|0,255,49920,1632.65
109,0.00516,99.96,1.17403,71.85,91.12,1.16887,0.005058623324029944,15.058,0.979|0.750,0.06|3.33,904.8|364.0,3120.0|3120.0,260|260,0|0,2|0,259,49920,1647.71
110,0.00511,99.95,1.17351,71.87,90.9,1.16841,0.004883440690764178,14.922,0.979|0.756,0.06|3.18,904.8|353.0,3120.0|3120.0,260|260,0|0,2|0,259,49920,1662.63
111,0.00532,99.944,1.16913,71.88,91.0,1.16381,0.004710359896730378,14.905,0.975|0.755,0.09|3.22,904.8|365.0,3120.0|3120.0,260|260,0|0,2|0,257,49920,1677.54
112,0.00511,99.958,1.16997,71.79,91.1,1.16486,0.0045394520420529005,14.988,0.977|0.750,0.09|3.34,904.8|352.9,3120.0|3120.0,260|260,0|0,2|0,259,49920,1692.53
113,0.00498,99.96,1.16729,71.85,91.07,1.16232,0.004370787334231026,14.984,0.975|0.756,0.10|3.24,904.8|352.9,3120.0|3120.0,260|260,0|0,2|0,258,49920,1707.51
114,0.00498,99.958,1.16891,71.76,91.22,1.16393,0.004204435059298303,14.962,0.979|0.757,0.05|3.18,904.8|353.0,3120.0|3120.0,260|260,0|0,2|0,256,49920,1722.47
115,0.00517,99.95,1.16697,71.88,91.05,1.1618,0.004040463553360431,14.949,0.979|0.757,0.07|3.24,904.8|353.0,3120.0|3120.0,260|260,0|0,2|0,258,49920,1737.42
116,0.00493,99.962,1.16592,71.97,91.06,1.16099,0.003878940174523371,14.846,0.976|0.758,0.08|3.15,904.8|364.0,3120.0|3120.0,260|260,0|0,2|0,258,49920,1752.27
117,0.00494,99.976,1.16315,71.88,91.17,1.15821,0.003719931275223205,14.842,0.977|0.760,0.05|3.13,904.8|352.9,3120.0|3120.0,260|260,0|0,2|0,258,49920,1767.11
118,0.00496,99.96,1.16028,72.13,91.13,1.15533,0.0035635021749691165,14.947,0.979|0.754,0.06|3.24,904.8|352.9,3120.0|3120.0,260|260,0|0,2|0,258,49920,1782.06
119,0.00512,99.958,1.16156,71.91,91.25,1.15644,0.0034097171335106826,14.894,0.979|0.759,0.05|3.13,904.8|352.9,3120.0|3120.0,260|260,0|0,2|0,256,49920,1796.95
120,0.00505,99.956,1.1584,72.09,91.13,1.15335,0.0032586393244405268,14.976,0.977|0.753,0.07|3.26,904.8|353.0,3120.0|3120.0,260|260,0|0,2|0,259,49920,1811.93
121,0.00494,99.958,1.15983,72.04,91.14,1.15489,0.0031103308092431336,14.912,0.972|0.755,0.12|3.20,904.8|353.0,3120.0|3120.0,260|260,0|0,2|0,258,49920,1826.84
122,0.00496,99.956,1.15739,72.19,91.19,1.15243,0.0029648525118005187,14.941,0.976|0.754,0.08|3.23,904.8|352.9,3120.0|3120.0,260|260,0|0,2|0,257,49920,1841.78
123,0.00484,99.968,1.16172,72.1,91.17,1.15687,0.0028222641933652115,14.721,0.977|0.769,0.07|2.97,904.8|352.8,3120.0|3120.0,260|260,0|0,2|0,258,49920,1856.5
124,0.00481,99.966,1.16114,71.97,91.22,1.15633,0.0026826244280108436,14.92,0.978|0.754,0.07|3.27,904.8|352.9,3120.0|3120.0,260|260,0|0,2|0,257,49920,1871.42
125,0.00489,99.964,1.15852,72.16,91.14,1.15363,0.002545990578570404,15.171,0.978|0.741,0.06|3.47,904.8|353.0,3120.0|3120.0,260|260,0|0,2|0,258,49920,1886.59
126,0.00507,99.944,1.15844,72.06,91.18,1.15336,0.0024124187730720915,14.953,0.978|0.754,0.09|3.25,904.8|352.9,3120.0|3120.0,260|260,0|0,2|0,258,49920,1901.54
127,0.00479,99.964,1.15594,72.14,91.24,1.15116,0.0022819638816823796,14.93,0.977|0.750,0.08|3.30,904.8|352.9,3120.0|3120.0,260|260,0|0,2|0,258,49920,1916.47
128,0.00474,99.962,1.15528,72.04,91.26,1.15054,0.002154679494165829,15.126,0.974|0.741,0.11|3.45,904.8|352.9,3120.0|3120.0,260|260,0|0,2|0,254,49920,1931.6
129,0.00486,99.966,1.15859,72.23,91.21,1.15372,0.002030617897870851,14.824,0.977|0.757,0.07|3.18,904.8|352.9,3120.0|3120.0,260|260,0|0,2|0,259,49920,1946.42
130,0.00497,99.964,1.15953,71.99,91.19,1.15456,0.0019098300562505265,14.948,0.979|0.752,0.06|3.26,904.8|352.9,3120.0|3120.0,260|260,0|0,2|0,258,49920,1961.37
131,0.00478,99.97,1.15638,72.11,91.16,1.1516,0.0017923655879272394,14.922,0.980|0.759,0.04|3.15,904.8|352.9,3120.0|3120.0,260|260,0|0,2|0,259,49920,1976.3
132,0.00471,99.962,1.15549,72.11,91.14,1.15078,0.0016782727463097624,14.812,0.976|0.762,0.07|3.08,904.8|364.0,3120.0|3120.0,260|260,0|0,2|0,258,49920,1991.11
133,0.0047,99.966,1.15387,72.15,91.31,1.14917,0.0015675983997711796,14.919,0.978|0.757,0.07|3.18,904.8|353.0,3120.0|3120.0,260|260,0|0,2|0,259,49920,2006.03
134,0.00471,99.974,1.15703,72.13,91.2,1.15232,0.0014603880123957448,15.016,0.974|0.747,0.12|3.36,904.8|353.0,3120.0|3120.0,260|260,0|0,2|0,257,49920,2021.04
135,0.0046,99.972,1.15447,72.12,91.2,1.14988,0.001356685625302625,15.047,0.981|0.739,0.04|3.49,904.8|353.0,3120.0|3120.0,260|260,0|0,2|0,259,49920,2036.09
136,0.00468,99.968,1.15357,72.21,91.2,1.14889,0.0012565338385541792,15.048,0.978|0.750,0.06|3.31,904.8|352.9,3120.0|3120.0,260|260,0|0,2|0,258,49920,2051.14
137,0.00473,99.97,1.15504,72.16,91.24,1.15031,0.0011599737936562149,14.909,0.980|0.752,0.05|3.25,904.8|364.0,3120.0|3120.0,260|260,0|0,2|0,259,49920,2066.05
138,0.00462,99.972,1.15377,72.32,91.21,1.14915,0.00106704515665741,14.826,0.977|0.756,0.05|3.19,904.8|352.9,3120.0|3120.0,260|260,0|0,2|0,259,49920,2080.87
139,0.00461,99.978,1.15388,72.24,91.04,1.14928,0.0009777861018548252,15.05,0.979|0.748,0.04|3.36,904.8|352.9,3120.0|3120.0,260|260,0|0,2|0,259,49920,2095.92
140,0.00466,99.966,1.1526,72.21,91.14,1.14794,0.000892233296112236,14.894,0.980|0.753,0.04|3.25,904.8|352.9,3120.0|3120.0,260|260,0|0,2|0,259,49920,2110.82
141,0.00456,99.97,1.15196,72.39,91.31,1.1474,0.000810421883797694,15.094,0.980|0.741,0.05|3.43,904.8|352.9,3120.0|3120.0,260|260,0|0,2|0,259,49920,2125.91
142,0.00466,99.968,1.15471,72.27,91.13,1.15005,0.000732385472346514,15.116,0.979|0.744,0.06|3.42,904.8|353.0,3120.0|3120.0,260|260,0|0,2|0,258,49920,2141.03
143,0.00455,99.978,1.15224,72.2,91.18,1.1477,0.0006581561184556295,15.163,0.975|0.741,0.10|3.48,904.8|353.0,3120.0|3120.0,260|260,0|0,2|0,258,49920,2156.19
144,0.00459,99.974,1.15393,72.19,91.16,1.14934,0.000587764314914967,14.963,0.976|0.751,0.08|3.30,904.8|353.0,3120.0|3120.0,260|260,0|0,2|0,258,49920,2171.15
145,0.00452,99.98,1.1533,72.2,91.17,1.14878,0.0005212389780812732,15.032,0.979|0.745,0.06|3.41,904.8|353.0,3120.0|3120.0,260|260,0|0,2|0,258,49920,2186.18
146,0.00453,99.982,1.15418,72.15,91.23,1.14964,0.0004586074359995118,15.173,0.974|0.742,0.11|3.47,904.8|353.0,3120.0|3120.0,260|260,0|0,2|0,258,49920,2201.36
147,0.0046,99.972,1.1522,72.33,91.19,1.1476,0.00039989541717674215,14.953,0.979|0.759,0.05|3.17,904.8|353.0,3120.0|3120.0,260|260,0|0,2|0,258,49920,2216.31
148,0.00443,99.976,1.15319,72.29,91.14,1.14877,0.0003451270400130646,15.267,0.979|0.740,0.06|3.53,904.8|352.9,3120.0|3120.0,260|260,0|0,2|0,258,49920,2231.58
149,0.00456,99.976,1.15337,72.22,91.24,1.14881,0.00029432480289398377,15.24,0.980|0.737,0.04|3.57,904.8|352.9,3120.0|3120.0,260|260,0|0,2|0,258,49920,2246.82
150,0.00449,99.976,1.1529,72.18,91.24,1.1484,0.0002475095749482603,15.248,0.977|0.738,0.07|3.56,904.8|353.0,3120.0|3120.0,260|260,0|0,2|0,258,49920,2262.07
151,0.00451,99.984,1.15292,72.16,91.3,1.14841,0.00020470058747505516,15.223,0.978|0.747,0.08|3.41,904.8|352.9,3120.0|3120.0,260|260,0|0,2|0,258,49920,2277.29
152,0.00458,99.974,1.1529,72.21,91.23,1.14832,0.00016591542604387443,15.404,0.976|0.733,0.06|3.64,904.8|353.0,3120.0|3120.0,260|260,0|0,2|0,258,49920,2292.69
