epoch,train_loss,train_acc1,test_loss,test_acc1,test_acc5,gap_loss,lr,wall_time_s,data_time_s,est_pipe_time_s,est_pipe_time_comm_s,peak_mem_mb,stage_mem_mb,max_weight_versions,v_max,samples,cum_wall_s,cum_est_pipe_s,overfit_warn
143,0.00516,99.96,1.10367,73.67,91.84,1.0985,0.0016453902961390738,29.661,4.991,14.374,14.612,671.9,13.2|76.0,2|1,1,49920,4199.7,2084.55,0
144,0.00484,99.976,1.10002,73.48,92.0,1.09518,0.0014694107872874175,28.802,2.924,14.349,14.596,671.9,13.2|76.0,2|1,1,49920,4228.5,2098.9,0
145,0.00489,99.972,1.10237,73.57,92.07,1.09748,0.001303097445203183,28.824,2.095,14.535,14.741,671.9,13.2|76.0,2|1,1,49920,4257.32,2113.44,0
146,0.00499,99.962,1.09946,73.68,91.84,1.09448,0.0011465185899987797,29.246,2.714,14.696,14.881,634.9,13.2|76.0,2|1,1,49920,4286.57,2128.13,0
147,0.00494,99.962,1.09966,73.58,91.94,1.09472,0.0009997385429418553,29.875,3.867,14.49,14.719,671.9,13.2|76.0,2|1,1,49920,4316.44,2142.62,0
148,0.00486,99.98,1.10155,73.59,91.93,1.09668,0.0008628176000326616,30.13,4.103,14.608,14.793,671.9,13.2|76.0,2|1,1,49920,4346.57,2157.23,0
149,0.00493,99.964,1.09893,73.73,92.04,1.094,0.0007358120072349595,29.122,2.79,14.453,14.699,671.9,13.2|76.0,2|1,1,49920,4375.7,2171.68,0
150,0.00493,99.964,1.10006,73.69,91.98,1.09513,0.0006187739373706508,28.855,3.981,14.491,14.708,672.7,13.2|76.0,2|1,1,49920,4404.55,2186.17,0
151,0.0049,99.97,1.10014,73.52,92.11,1.09525,0.0005117514686876379,29.01,3.349,14.653,14.829,672.7,13.2|76.0,2|1,1,49920,4433.56,2200.83,0
152,0.00485,99.98,1.10004,73.61,92.02,1.0952,0.0004147885651096861,29.773,4.294,14.578,14.798,671.9,13.2|76.0,2|1,1,49920,4463.33,2215.41,0
153,0.00486,99.974,1.09855,73.6,91.95,1.09369,0.0003279250581763982,30.007,3.589,14.647,14.846,672.7,13.2|76.0,2|1,1,49920,4493.34,2230.05,0
154,0.00492,99.966,1.09988,73.49,91.92,1.09496,0.0002511966306807723,28.847,1.46,14.537,14.755,671.9,13.2|76.0,2|1,1,49920,4522.19,2244.59,0
155,0.00496,99.972,1.0989,73.58,92.06,1.09394,0.00018463480201101335,29.521,3.738,14.518,14.744,671.9,13.2|76.0,2|1,1,49920,4551.71,2259.11,0
156,0.00473,99.976,1.09748,73.65,91.96,1.09275,0.00012826691520262113,29.095,2.344,14.677,14.853,671.9,13.2|76.0,2|1,1,49920,4580.8,2273.78,0
157,0.00483,99.98,1.09978,73.58,91.94,1.09495,8.211612570611926e-05,28.865,4.143,14.551,14.768,671.9,13.2|76.0,2|1,1,49920,4609.67,2288.34,0
158,0.00483,99.976,1.09945,73.57,91.92,1.09462,4.620139187497819e-05,29.315,4.079,14.499,14.727,671.9,13.2|76.0,2|1,1,49920,4638.98,2302.83,0
159,0.00488,99.976,1.09936,73.52,91.97,1.09448,2.0537467177692006e-05,29.904,3.653,14.629,14.828,671.9,13.2|76.0,2|1,1,49920,4668.89,2317.46,0
160,0.0049,99.974,1.09976,73.48,91.97,1.09486,5.134894137179269e-06,29.369,2.859,14.539,14.756,641.2,13.2|76.0,2|1,1,49920,4698.26,2332.0,0
